2023-03-05 11:50:55,178 INFO    MainThread:25756 [wandb_setup.py:_flush():68] Configure stats pid to 25756
2023-03-05 11:50:55,179 INFO    MainThread:25756 [wandb_setup.py:_flush():68] Loading settings from /home/zht/.config/wandb/settings
2023-03-05 11:50:55,179 INFO    MainThread:25756 [wandb_setup.py:_flush():68] Loading settings from /home/zht/github_play/SqueezeSegV3/src/tasks/semantic/wandb/settings
2023-03-05 11:50:55,179 INFO    MainThread:25756 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-03-05 11:50:55,179 INFO    MainThread:25756 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'src/tasks/semantic/train.py', 'program': 'train.py'}
2023-03-05 11:50:55,179 INFO    MainThread:25756 [wandb_init.py:_log_setup():492] Logging user logs to /home/zht/github_play/SqueezeSegV3/src/tasks/semantic/wandb/run-20230305_115055-inijovyy/logs/debug.log
2023-03-05 11:50:55,179 INFO    MainThread:25756 [wandb_init.py:_log_setup():493] Logging internal logs to /home/zht/github_play/SqueezeSegV3/src/tasks/semantic/wandb/run-20230305_115055-inijovyy/logs/debug-internal.log
2023-03-05 11:50:55,179 INFO    MainThread:25756 [wandb_init.py:init():532] calling init triggers
2023-03-05 11:50:55,179 INFO    MainThread:25756 [wandb_init.py:init():539] wandb.init called with sweep_config: {}
config: {}
2023-03-05 11:50:55,179 INFO    MainThread:25756 [wandb_init.py:init():588] starting backend
2023-03-05 11:50:55,179 INFO    MainThread:25756 [wandb_init.py:init():592] setting up manager
2023-03-05 11:50:55,181 INFO    MainThread:25756 [backend.py:_multiprocessing_setup():108] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-05 11:50:55,182 INFO    MainThread:25756 [wandb_init.py:init():599] backend started and connected
2023-03-05 11:50:55,184 INFO    MainThread:25756 [wandb_init.py:init():687] updated telemetry
2023-03-05 11:50:55,199 INFO    MainThread:25756 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-03-05 11:50:55,932 INFO    MainThread:25756 [wandb_run.py:_on_init():2134] communicating current version
2023-03-05 11:50:56,399 INFO    MainThread:25756 [wandb_run.py:_on_init():2143] got version response 
2023-03-05 11:50:56,399 INFO    MainThread:25756 [wandb_init.py:init():775] starting run threads in backend
2023-03-05 11:50:57,703 INFO    MainThread:25756 [wandb_run.py:_console_start():2114] atexit reg
2023-03-05 11:50:57,703 INFO    MainThread:25756 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-05 11:50:57,704 INFO    MainThread:25756 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-05 11:50:57,704 INFO    MainThread:25756 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-05 11:50:57,704 INFO    MainThread:25756 [wandb_init.py:init():817] run started, returning control to user process
2023-03-05 11:51:07,575 WARNING MsgRouterThr:25756 [router.py:message_loop():77] message_loop has been closed
